,title,price,rating,reviews,availability,brand,model,screen_size
32,VW 80 cm (32 inches) Linux Series Frameless HD Ready Smart LED TV VW32C2 (Black) | with 18 Months Warranty,"7,999",4.1 out of 5 stars,"2,494 ratings",In stock,32 Inches,VW 80 cm (32 inches) Frameless Series HD Ready Smart Linux TV VW32C2 (Black),32 Inches
33,Acer 80 cm (32 inches) Advanced I Series HD Ready Smart LED Google TV AR32GR2841HDFL (Black),,4.1 out of 5 stars,"5,246 ratings",,32 Inches,Acer 80 cm (32 inches) I Series HD Ready Smart LED Google TV AR32GR2841HDFL (Black) (2023 Model),32 Inches
34,VW 109 cm (43 inches) Linux Series Frameless Full HD Smart LED TV VW43S1 (Black),"13,999",4.1 out of 5 stars,"2,494 ratings",In stock,43 Inches,VW43S1,43 Inches
35,Sony Bravia 139 cm (55 inches) 4K Ultra HD Smart LED Google TV KD-55X74K (Black),"52,490",4.5 stars,"22,642 ratings",In stock,55 Inches,KD-55X74K,55 Inches
36,Hisense 305 cm (120 inches) Trichrom ALR Screen Series 4K Ultra HD Smart Laser TV 120L9HE (Black),"4,99,999",3.0 out of 5 stars,2 ratings,In stock,120 Inches,120L9HE,120 Inches
37,Kodak 80 cm (32 inches) Special Edition Series HD Ready Smart LED TV 32SE5001BL (Black),"8,999",4.4 out of 5 stars,"1,460 ratings",In stock,32 Inches,32SE5001BL,32 Inches
38,MI 125 cm (50 inches) X Series 4K Ultra HD Smart Android LED TV L50M7-A2IN (Black),"31,999",4.1 out of 5 stars,"1,456 ratings",In stock,50 Inches,Xiaomi TV X50,50 Inches
39,Vu 189 cm (75 inches) The Masterpiece Glo Series 4K Ultra HD Smart Android QLED TV 75QMP (Armani Gold) (2022 Model) | Built in 4.1 Speaker,"1,28,999",4.1 stars,"1,809 ratings",In stock,75 Inches,Vu Masterpiece,75 Inches
40,Sony Bravia 108 cm (43 inches) 4K Ultra HD Smart LED Google TV KD-43X74K (Black),"37,990",4.5 stars,"22,642 ratings",In stock,43 Inches,KD-43X74K,43 Inches
41,TCL 108 cm (43 inches) 4K Ultra HD Smart QLED Google TV 43C645 (Black),"30,990",4.1 stars,"1,495 ratings",In stock,43 Inches,43C645,43 Inches
42,TOSHIBA 108 cm (43 inches) V Series Full HD Smart Android LED TV 43V35MP (Black) | Dolby Audio | A+ Grade 10 bit LED Panel,"20,999",4.1 out of 5 stars,"3,087 ratings",In stock,43 Inches,43V35MP,43 Inches
43,MI 80 cm (32 inches) HD Ready Smart Android LED TV 5A Pro | L32M7-EAIN (Black),"12,990",4.0 out of 5 stars,503 ratings,In stock,32 Inches,Xiaomi TV 5A 32 Pro,32 Inches
44,Kodak 126 cm (50 inches) CAPRO Series 4K Ultra HD LED Google TV 50CAPROGT5012 (Black),"25,999",4.4 out of 5 stars,"2,476 ratings",In stock,50 Inches,50CAPROGT5012,50 Inches
45,Acer 109 cm (43 inches) I Series 4K Ultra HD Android Smart LED TV AR43AR2851UDFL (Black),"22,999",4.3 out of 5 stars,"14,138 ratings",In stock,43 Inches,,43 Inches
46,Redmi 108 cm (43 inches) 4K Ultra HD Android Smart LED TV X43 | L43R7-7AIN (Black),"25,999",4.2 out of 5 stars,"60,037 ratings",In stock,43 Inches,Redmi Smart TV X43,43 Inches
47,iFFALCON 147 cm (58 inches) 4K Ultra HD Smart LED Google TV iFF58U62 (Black),"31,999",4.1 stars,"3,617 ratings",In stock,58 Inches,iFF58U62,58 Inches
48,iFFALCON 147 cm (58 inches) 4K Ultra HD Smart LED Google TV iFF58U62 (Black),"31,999",4.1 stars,"3,617 ratings",In stock,58 Inches,iFF58U62,58 Inches
49,TOSHIBA 80 cm (32 inches) V Series HD Ready Smart Android LED TV 32V35MP (Black) | Dolby Audio | A+ Grade LED Panel,"12,990",4.1 out of 5 stars,"3,087 ratings",In stock,32 Inches,32V35MP,32 Inches
50,MI 108 cm (43 inches) X Series 4K Ultra HD Smart Google TV L43M8-A2IN (Black),"28,999",4.1 out of 5 stars,"1,456 ratings",In stock,43 Inches,L43M8-A2IN,43 Inches
51,"amazon basics 16W Wireless Soundbar | Party RGB Lights I Bluetooth, USB & FM Antenna I Mini Gaming BT Soundbar for TV, Mobile, PC, Tablets, Laptops","1,099",4.4 out of 5 stars,31 ratings,In stock,amazon basics,AB-SB,
52,MI 100 cm (40 inches) A Series Full HD Smart Google TV L40M8-5AIN (Black),"22,999",4.2 out of 5 stars,"55,945 ratings",In stock,40 Inches,L40M8-5AIN,40 Inches
53,Kodak 106 cm (42 inches) Full HD Certified Android Smart LED TV 42FHDX7XPRO (Black),"15,999",4.4 out of 5 stars,"12,682 ratings",In stock,42 Inches,42FHDX7XPRO,42 Inches
54,Sansui 80cm (32 inches) HD Ready Smart LED TV JSY32SKHD (BLACK) With Bezel-less Design,"10,890",3.9 out of 5 stars,313 ratings,In stock,32 Inches,JSY32SKHD,32 Inches
55,Zdalamit Mi Tv Remote Control Original with Voice Control l Bluetooth Smart Remote for Mi Tv,799,4.6 out of 5 stars,"1,098 ratings",In stock,ZdalaMit,,
56,Mi 2K TV Stick with Built in Chromecast (Black),"3,299",3.6 out of 5 stars,28 ratings,In stock,Xiaomi,Mi TV Stick,
57,VW 101 cm (40 inches) Linux Series Frameless HD Ready Smart LED TV VW40S1 (Black) | with 18 Months Warranty,"12,499",4.5 out of 5 stars,"2,494 ratings",In stock,40 Inches,VW 40S1,40 Inches
58,VW 101 cm (40 inches) Playwall Frameless Series Full HD Android Smart LED TV VW40F1 (Black),"13,499",4.1 out of 5 stars,"3,629 ratings",In stock,40 Inches,VW40F1,40 Inches
59,Sony Bravia 108 cm (43 inches) 4K Ultra HD Smart LED Google TV KD-43X64L (Black),"40,990",4.5 stars,"22,642 ratings",In stock,43 Inches,KD-43X64L,43 Inches
